type_child_clothes,price,address,image_link-src
Ensemble enfant,14 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1145135_uploaded_image1_1572704585.61.png
Robe en laine bébé,6 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1134538_uploaded_image1_1572503108.6.png
Lot de 7 slips,6 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1071055_uploaded_image1_1571229391.41.png
Lot 3 sous corps enfant,6 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1071028_uploaded_image1_1571229103.2.png
Lot de 5 Bavoirs,5 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1071003_uploaded_image1_1571228873.01.png
Collants pour fillettes,8 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1070983_uploaded_image1_1571228675.54.png
Balles de friperie pour enfants,230 000CFA,Côte d'Ivoire,https://images.coinafrique.com/thumb_1068712_uploaded_image1_1571180215.9.png
Bodysuits Primark,12 500CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1047251_uploaded_image1_1570706426.91.png
Barboteuses,8 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1047234_uploaded_image1_1570706219.04.png
Vêtements de friperie,1 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1046166_uploaded_image1_1570691842.61.png
Couvertures,10 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1042679_uploaded_image1_1570619841.57.png
Couverture doux pour bébés,15 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1042526_uploaded_image1_1570617663.24.png
Kits de naissance,15 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1042509_uploaded_image1_1570617441.64.png
Sous-vêtements,6 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1027956_uploaded_image1_1570286892.36.png
Bodysuits Primark,12 500CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1024033_uploaded_image1_1570200213.56.png
Grenouillères  et  kit naissance,15 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1023997_uploaded_image1_1570199774.76.png
Robe bazin riche Hitaget,7 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1023688_uploaded_image1_1570195357.93.png
